"Orgname1","address"
"SENECA FALLS COMMUNITY LITTLE LEAGU","PO BOX 216, SENECA FALLS, NY  13148"
"SOUTH TEXAS INDIAN MOTORCYCLE RIDER","2937 SOUTH PADRE ISLAND DRIVE, CORPUS CHRISTI, TX  78415"
"DEEP ROOTED NAPA VALLEY","PO BOX 2404, NAPA, CA  94558"
"HEALING PATHWAY VICTIM SERVICE AGEN","3361 SW KESSLER DR UNIT 2212, LEES SUMMIT, MO  64081"
"COALFIELD YOUTH SPORTS INC","110 JUSTICE ST, LOGAN, WV  25601"
"PLYMOUTH COUNTY CYCLISTS INC","PO BOX 511, LE MARS, IA  51031"
"BACKPACK BED FOR HOMELESS INC","415 N CHURCH ST APT 1711, NASHVILLE, TN  37219"
"BREAD AGAINST MISERY FOUNDATION INC","1111 BRICKELL AVENUE SUITE 2325, MIAMI, FL  33131"
"CELL2CELL INC","1460 BROADWAY, NEW YORK, NY  10036"
"MCCANN ALUMNI ASSOCIATION INC","70 HODGES CROSS ROAD, NORTH ADAMS, MA  1247"
"GLOBAL LEGACY CENTRE","PO BOX 123, TENNILLE, GA  31089"
"WILD AT HEART","123 SIR TURNER DRIVE, COLD CREEK, NV  89124"
"ROSS COUNTY HORSESHOE PITCHER ASSOC","1615 HANNA LANE, LONDONDERRY, OH  45647"
"SOUTHWESTERN  SOCCER CLUB  INC","BOX 94, LAKEWOOD, NY  14750"
"ANGEL MISSION MINISTRY INC","165 SAVANNAH TRAIL, EUBANK, KY  42567"
"GRAYSLAKE ARTS ALLIANCE INC","1189 BLACKBURN DRIVE, GRAYSLAKE, IL  60030"
"EVOLUTION OF HOPE","13964 EDGEWATER CT, PLAINFIELD, IL  60544"
"ROCKSTAR CHEER JACKSONVILLE BOOSTER","5250 BOWDEN ROAD STE 201, JACKSONVILLE, FL  32216"
"SONS OF THE AMERICAN LEGION DISTRIC","1925 BANANA ST, PORT CHARLOTTE, FL  33980"
"CONNECTED YORK COUNTY INC","3229 GRANDVIEW ROAD, HANOVER, PA  17331"
"LANGFORD HOMESCHOOL COLLECTIVE","9413 BATAAN ST NE, BLAINE, MN  55449"
"BUSINESS ACCOUNTING AND TECHNOLOGY","2851 WEST 120TH STREET  E-575, HAWTHORNE, CA  90250"
"FRIENDS OF HISTORIC HALIFAX INC","PO BOX 406, HALIFAX, NC  27839"
"ALLEGHENY RIVER TRAIL IN CLARION CO","132 ANTON LANDING DR PO BOX 325, FOXBURG, PA  16036"
"VENAS SIN FRONTERAS","2126 EUREKA WAY, REDDING, CA  96001"
"ZMA LEGAL FOUNDATION","500 LAKE COOK ROAD SUITE 350, DEERFIELD, IL  60015"
"ROBERT AND AUDRA CHRISTIE FOUNDATIO","7177 TUMBLEBROOK DRIVE, NEW ALBANY, OH  43054"
"NJ EMS CHIEFS ASSOCIATION","44 TUPELO DRIVE, OLD BRIDGE, NJ  8857"
"THE EMPOWERED KITCHEN INC","165 WELLS ROAD SUITE 304, ORANGE PARK, FL  32073"
"WEALTH EMPOWERMENT ADVOCACY NETWORK","23800 GARLAND COURT, VALENCIA, CA  91354"
"CITY KIDZ PLAYHOUSE","182 W 26TH STREET, BAYONNE, NJ  7002"
